feature,coefficient,absolute_coefficient,direction
categorical__country_UKR,-0.03017596173419818,0.03017596173419818,lower cancellation score
categorical__hotel_Resort Hotel,0.02702270000067776,0.02702270000067776,higher cancellation score
categorical__agent_492,0.026270553619680743,0.026270553619680743,higher cancellation score
categorical__agent_286,0.025232711862373563,0.025232711862373563,higher cancellation score
numeric__arrival_date_day_of_month,0.024778447525240898,0.024778447525240898,higher cancellation score
categorical__agent_384,-0.023088667347879382,0.023088667347879382,lower cancellation score
numeric__arrival_month_cos,0.023057166057008065,0.023057166057008065,higher cancellation score
categorical__agent_313,-0.020469706375151,0.020469706375151,lower cancellation score
numeric__stays_in_weekend_nights,-0.018976098981715355,0.018976098981715355,lower cancellation score
categorical__agent_414,-0.013750782562806558,0.013750782562806558,lower cancellation score
numeric__adults,0.012071537073776272,0.012071537073776272,higher cancellation score
numeric__babies,-0.00967267597307684,0.00967267597307684,lower cancellation score
categorical__agent_133,-0.0012108254685153502,0.0012108254685153502,lower cancellation score
categorical__agent_321,-9.552890304855425e-05,9.552890304855425e-05,lower cancellation score
categorical__agent_391,-9.137404536458296e-05,9.137404536458296e-05,lower cancellation score
categorical__country_MWI,-5.5175097438651094e-05,5.5175097438651094e-05,lower cancellation score
